entry_id,beacon_id,in_time,out_time,rpi_id
33559,92,2016-09-22 13:17:06,2016-09-22 13:18:00,rpi-11
33560,93,2016-09-22 13:18:11,2016-09-22 13:18:11,rpi-03
33561,93,2016-09-22 13:18:40,2016-09-22 13:18:40,rpi-03
33562,92,2016-09-22 13:17:19,2016-09-22 13:19:23,rpi-10
33563,92,2016-09-22 13:18:25,2016-09-22 13:21:09,rpi-11
33564,93,2016-09-22 13:21:08,2016-09-22 13:21:08,rpi-03
33565,93,2016-09-22 13:08:27,2016-09-22 13:21:05,rpi-05
33566,93,2016-09-22 13:21:34,2016-09-22 13:21:34,rpi-03
33567,92,2016-09-22 13:21:41,2016-09-22 13:21:51,rpi-10
33568,92,2016-09-22 13:21:47,2016-09-22 13:22:02,rpi-11
33569,92,2016-09-22 13:22:18,2016-09-22 13:22:22,rpi-10
33570,92,2016-09-22 13:23:55,2016-09-22 13:23:55,rpi-11
33571,92,2016-09-22 13:24:27,2016-09-22 13:24:27,rpi-11
33572,93,2016-09-22 13:24:39,2016-09-22 13:24:39,rpi-03
33573,92,2016-09-22 13:23:09,2016-09-22 13:24:45,rpi-10
33574,92,2016-09-22 13:26:24,2016-09-22 13:27:59,rpi-11
33575,92,2016-09-22 13:25:18,2016-09-22 13:28:19,rpi-10
33576,92,2016-09-22 13:28:37,2016-09-22 13:29:00,rpi-11
33577,92,2016-09-22 13:28:43,2016-09-22 13:29:31,rpi-10
33578,92,2016-09-22 13:29:24,2016-09-22 13:31:09,rpi-11
33579,92,2016-09-22 13:30:03,2016-09-22 13:31:11,rpi-10
33580,32,2016-09-22 13:12:32,2016-09-22 13:31:49,rpi-12
33581,93,2016-09-22 13:31:58,2016-09-22 13:32:13,rpi-06
33582,51,2016-09-22 13:32:21,2016-09-22 13:32:27,rpi-03
33583,51,2016-09-22 13:32:23,2016-09-22 13:32:27,rpi-04
33584,51,2016-09-22 13:32:21,2016-09-22 13:32:32,rpi-21
33585,39,2016-09-22 13:32:38,2016-09-22 13:32:38,rpi-15
33586,51,2016-09-22 13:32:40,2016-09-22 13:32:40,rpi-17
33587,51,2016-09-22 13:32:40,2016-09-22 13:32:41,rpi-18
33588,39,2016-09-22 13:32:34,2016-09-22 13:32:39,rpi-16
33589,39,2016-09-22 13:32:34,2016-09-22 13:32:38,rpi-14
33590,39,2016-09-22 13:32:07,2016-09-22 13:32:38,rpi-01
33591,39,2016-09-22 13:32:08,2016-09-22 13:32:36,rpi-00
33592,39,2016-09-22 13:32:06,2016-09-22 13:33:03,rpi-02
33593,51,2016-09-22 13:32:38,2016-09-22 13:33:12,rpi-08
33594,51,2016-09-22 13:32:36,2016-09-22 13:33:14,rpi-25
33595,39,2016-09-22 13:32:01,2016-09-22 13:33:07,rpi-21
33596,92,2016-09-22 13:33:11,2016-09-22 13:33:14,rpi-12
33597,51,2016-09-22 13:32:37,2016-09-22 13:33:16,rpi-29
33598,39,2016-09-22 13:32:26,2016-09-22 13:33:19,rpi-19
33599,39,2016-09-22 13:32:09,2016-09-22 13:33:22,rpi-04
33600,39,2016-09-22 13:33:19,2016-09-22 13:33:24,rpi-17
33601,51,2016-09-22 13:32:30,2016-09-22 13:33:32,rpi-24
33602,39,2016-09-22 13:32:07,2016-09-22 13:33:42,rpi-03
33603,51,2016-09-22 13:33:40,2016-09-22 13:33:40,rpi-25
33604,51,2016-09-22 13:32:40,2016-09-22 13:33:38,rpi-13
33605,93,2016-09-22 13:21:39,2016-09-22 13:33:46,rpi-05
33606,39,2016-09-22 13:33:42,2016-09-22 13:33:48,rpi-16
33607,39,2016-09-22 13:33:06,2016-09-22 13:33:55,rpi-06
33608,51,2016-09-22 13:32:47,2016-09-22 13:34:02,rpi-27
33609,51,2016-09-22 13:32:40,2016-09-22 13:34:19,rpi-23
33610,39,2016-09-22 13:34:24,2016-09-22 13:34:50,rpi-06
33611,39,2016-09-22 13:33:47,2016-09-22 13:35:09,rpi-15
33612,51,2016-09-22 13:35:07,2016-09-22 13:35:07,rpi-27
33613,39,2016-09-22 13:34:27,2016-09-22 13:35:09,rpi-16
33614,39,2016-09-22 13:32:55,2016-09-22 13:35:10,rpi-07
33615,51,2016-09-22 13:32:55,2016-09-22 13:35:11,rpi-28
33616,39,2016-09-22 13:35:05,2016-09-22 13:35:17,rpi-05
33617,93,2016-09-22 13:31:23,2016-09-22 13:35:16,rpi-03
33618,39,2016-09-22 13:33:07,2016-09-22 13:35:24,rpi-09
33619,39,2016-09-22 13:33:22,2016-09-22 13:35:41,rpi-10
33620,93,2016-09-22 13:35:46,2016-09-22 13:35:54,rpi-21
33621,92,2016-09-22 13:32:28,2016-09-22 13:36:26,rpi-11
33622,51,2016-09-22 13:36:35,2016-09-22 13:36:35,rpi-23
33623,51,2016-09-22 13:37:05,2016-09-22 13:37:07,rpi-27
33624,92,2016-09-22 13:37:08,2016-09-22 13:37:25,rpi-12
33625,39,2016-09-22 13:38:10,2016-09-22 13:38:10,rpi-14
33626,92,2016-09-22 13:38:24,2016-09-22 13:38:24,rpi-11
33627,51,2016-09-22 13:38:34,2016-09-22 13:38:34,rpi-27
33628,92,2016-09-22 13:39:09,2016-09-22 13:39:16,rpi-11
33629,32,2016-09-22 13:34:08,2016-09-22 13:39:48,rpi-12
33630,51,2016-09-22 13:39:40,2016-09-22 13:40:00,rpi-27
33631,93,2016-09-22 13:40:04,2016-09-22 13:40:33,rpi-06
33632,51,2016-09-22 13:40:43,2016-09-22 13:40:43,rpi-23
33633,92,2016-09-22 13:40:04,2016-09-22 13:40:57,rpi-11
33634,8,2016-09-22 13:40:57,2016-09-22 13:40:57,rpi-15
33635,8,2016-09-22 13:40:57,2016-09-22 13:41:00,rpi-16
33636,93,2016-09-22 13:41:09,2016-09-22 13:41:09,rpi-06
33637,51,2016-09-22 13:33:03,2016-09-22 13:41:13,rpi-26
33638,8,2016-09-22 13:40:11,2016-09-22 13:41:12,rpi-22
33639,93,2016-09-22 13:41:06,2016-09-22 13:41:06,rpi-21
33640,8,2016-09-22 13:40:33,2016-09-22 13:41:41,rpi-23
33641,51,2016-09-22 13:40:58,2016-09-22 13:41:43,rpi-27
33642,8,2016-09-22 13:41:24,2016-09-22 13:41:34,rpi-17
33643,8,2016-09-22 13:41:35,2016-09-22 13:41:35,rpi-22
33644,93,2016-09-22 13:41:38,2016-09-22 13:41:38,rpi-21
33645,93,2016-09-22 13:36:22,2016-09-22 13:41:49,rpi-05
33646,32,2016-09-22 13:40:28,2016-09-22 13:41:49,rpi-12
33647,93,2016-09-22 13:35:44,2016-09-22 13:41:52,rpi-03
33648,93,2016-09-22 12:05:49,2016-09-22 13:41:46,rpi-04
33649,8,2016-09-22 13:40:39,2016-09-22 13:42:14,rpi-27
33650,92,2016-09-22 13:31:37,2016-09-22 13:42:17,rpi-10
33651,92,2016-09-22 13:42:12,2016-09-22 13:42:36,rpi-11
